Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,The park is open.,monster|dna|tyrannosaurus rex|velociraptor|island,2015
Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,What a Lovely Day.,future|chase|post-apocalyptic|dystopia|australia,2015
Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,One Choice Can Destroy You,based on novel|revolution|dystopia|sequel|dystopic future,2015
Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,Vengeance Hits Home,car race|speed|revenge|suspense|car,2015
Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,Reset the future,saving the world|artificial intelligence|cyborg|killer robot|future,2015
The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,Bring Him Home,based on novel|mars|nasa|isolation|botanist,2015
Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,A Plan No One Escapes,spy|based on novel|secret agent|sequel|james bond,2015
Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,Expand your universe.,jupiter|space|woman director|3d|interspecies romance,2015
Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,Game On.,video game|nerd|alien attack|3d|pixels,2015
Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,It Ends Here,revenge|murder|on the run|fugitive|framed,2015
Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,Heroes Don't Get Any Bigger,marvel comic|superhero|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,2015
Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,Believe in Hope.,sport,2015
Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,Are you curious?,based on novel|billionaire|bdsm|woman director|erotic movie,2015
The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,This is a true story.,bank|fraud|biography|wall street|finances,2015
Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,The man behind the myth,london|detective|sherlock holmes,2015
Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,We're back pitches,music|sequel|singer|male female relationship|audition,2015
Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,The stories are alive.,based on novel|magic|fantasy|family|3d,2015
Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,Love knows no boundaries,based on novel|carpet|isolation|imprisonment|grandparents,2015
The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,Little Arms With Big Attitude,tyrannosaurus rex|friends|animation|alternate history|dinosaur,2015
Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,No sin goes unpunished,hitman|revenge|murder|on the run|mobster,2015
The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,Love is timeless.,san francisco|immortality|love|forever,2015
Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,Worlds Collide,friendship|spaceship|space|alien|alien invasion,2015
Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,Get Lost. Get Found.,friendship|high school|teen|classmate|based on young adult book,2015
The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,Experience never gets old,intern|woman director,2015
Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,The Storm Awaits.,mountains|snow storm|hiking|snow|death,2015
Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,Sophistication Has a Name.,based on novel|painting|debt|art dealer|stolen painting,2015
Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,We are no longer in control.,terrorist|technology|anti hero|hacker|computer virus,2015
Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,Change is coming.,teleportation|transformation|telekinesis|portal|marvel comic,2015
The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,Evil takes many forms.,witch|new england|17th century,2015
Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,Never Drop The Con.,seduction|con man|femme fatale|deception|con artist,2015
Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,Your Number is Up.,assassin|secret identity|intelligence|hitman|execution,2015
Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,We All Know One.,alcohol|one-night stand,2015
Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,Welcome to the new front line,terrorist|drone|u.s. military|air force base|combat drone,2015
Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,Every legend has a beginning.,flying|magic|fairy tale|peter pan|mermaid,2015
Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,Even Legends Need a Hero,american football|biography|professional sports|sports injury|nfl,2015
The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,Dream High.,1970s|skyscraper|based on true story|tightrope|planning,2015
Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,What could go wrong?,route 66|grand canyon|cow|vacation|road trip,2015
Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,Don't Get Bitten,post-apocalyptic|dystopia|zombies,2015
Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drake Doremus,Find your equal.,illustrator|sex scene|near future|infected|emotions,2015
The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,Not every gift is welcome.,detective|stalker|gift|bully|psychological thriller,2015
Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,Choose your Daddy,daddys home,2015
Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Brian A Miller,Where the future is your past.,artificial intelligence|android|self-awareness|mercenary|virtual reality,2015
The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,Revenge is back in fashion,based on novel|australia|dressmaker|hometown|woman director,2015
High-Rise,Tom Hiddleston|Sienna Miller|Jeremy Irons|Luke Evans|Elisabeth Moss,Ben Wheatley,Leave the real world behind,skyscraper|high rise,2015
Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Doug Ellin,Dream Large. Live Larger.,friendship|hollywood|movie star|entourage,2015
Black Mass,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,Scott Cooper,Keep your enemies close.,boston|based on true story|organized crime,2015
No Escape,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,John Erick Dowdle,No rescue. No refuge.,coup|american|family|foreign,2015
Dope,Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman,Rick Famuyiwa,It's hard out here for a geek.,california|hip-hop|harvard university|geek|coming of age,2015
American Ultra,Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins,Nima Nourizadeh,Everyone's getting smoked.,memory loss|stoner|black ops,2015
Woman in Gold,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,Simon Curtis,Justice is Priceless.,nazis|art|stolen painting,2015
Crimson Peak,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,Guillermo del Toro,Beware.,haunted house|mining|murder|spitting blood|gothic,2015
Everly,Salma Hayek|Hiroyuki Watanabe|Jennifer Blanc|Togo Igawa|Caroline Chikezie,Joe Lynch,Enter if you dare.,assassin|mob boss,2015
Magic Mike XXL,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez,Gregory Jacobs,Back to the grind.,male friendship|strip club|road trip|strip tease|strip,2015
Slow West,Michael Fassbender|Kodi Smit-McPhee|Ben Mendelsohn|Caren Pistorius|Rory McCann,John Maclean,Wanted Dead or Dead,fire|bounty hunter|shotgun|horseback riding|horse,2015
Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Billy Ray,Don't look back,fbi|missing child,2015
Mistress America,Greta Gerwig|Lola Kirke|Charlie Gillette|Dean Wareham|Heather Lind,Noah Baumbach,From Strangers to Sisters.,comedy,2015
Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,Best Friend. Hero. Marine.,afghanistan|war|based on true story|rescue|betrayal,2015
The Gunman,Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance,Pierre Morel,Armed With the Truth.,assassin|hitman,2015
Hot Pursuit,Reese Witherspoon|SofÃ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones,Anne Fletcher,Armed and Sort-of Dangerous.,texas|prisoner|cop|drug cartel|on the run,2015
Insidious: Chapter 3,Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson,Leigh Whannell,This is how you die,sequel,2015
The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,Nicholas Hytner,A mostly true story,based on novel|biography|based on true story,2015
Regression,Ethan Hawke|Emma Watson|Aaron Ashmore|Devon Bostick|David Thewlis,Alejandro AmenÃ¡bar,Fear always finds its victim,investigation|memory loss,2015
Pay the Ghost,Nicolas Cage|Sarah Wayne Callies|Veronica Ferres|Lyriq Bent|Lauren Beatty,Uli Edel,Evil walks among us.,halloween|police|revenge|burned alive|children,2015
The Voices,Ryan Reynolds|Gemma Arterton|Anna Kendrick|Jacki Weaver|Ella Smith,Marjane Satrapi,Hearing voices can be murder.,violence|psychiatrist|dark|evil|woman director,2015
Ricki and the Flash,Meryl Streep|Kevin Kline|Mamie Gummer|Sebastian Stan|Audra McDonald,Jonathan Demme,Get Ready for Ricki.,homophobia|rock star|aging|family relationships|divorce,2015
While We're Young,Ben Stiller|Naomi Watts|Adam Driver|Amanda Seyfried|Charles Grodin,Noah Baumbach,Life Never Gets Old.,marriage|middle age,2015
Get Hard,Will Ferrell|Kevin Hart|Alison Brie|Craig T. Nelson|T.I.,Etan Cohen,An education in incarceration.,prison|training|framed|embezzlement,2015
Kill Me Three Times,Teresa Palmer|Simon Pegg|Luke Hemsworth|Sullivan Stapleton|Alice Braga,Kriv Stenders,Once is never enough.,assassin|dark comedy,2015
The 33,Antonio Banderas|Rodrigo Santoro|Juliette Binoche|James Brolin|Lou Diamond Phillips,Patricia Riggen,Hope runs deep,mining|chile|based on true story|survival|woman director,2015
Suffragette,Carey Mulligan|Helena Bonham Carter|Meryl Streep|Ben Whishaw|Brendan Gleeson,Sarah Gavron,Mothers. Daughters. Rebels.,london|biography|feminist|period drama|woman director,2015
We Are Your Friends,Zac Efron|Emily Ratajkowski|Wes Bentley|Nick Rotteveel|Alessandro Lindblad,Max Joseph,The world is yours.,dj,2015
Barely Lethal,Hailee Steinfeld|Sophie Turner|Jessica Alba|Samuel L. Jackson|Dove Cameron,Kyle Newman,Click. Clique. Bang.,assassin|high school,2015
Extraction,Bruce Willis|Gina Carano|Kellan Lutz|D. B. Sweeney|Dan Bilzerian,Steven C. Miller,Vengeance runs in the family.,terrorist|kidnapping|ex cia agent|rescue operation,2015
Jenny's Wedding,Katherine Heigl|Tom Wilkinson|Alexis Bledel|Grace Gummer|Linda Emond,Mary Agnes Donoghue,Family is worth fighting for.,woman director,2015
Our Brand Is Crisis,Sandra Bullock|Anthony Mackie|Billy Bob Thornton|Zoe Kazan|Scoot McNairy,David Gordon Green,May the best campaign win.,political campaign|south america,2015
Into the Forest,Ellen Page|Evan Rachel Wood|Max Minghella|Callum Keith Rennie|Michael Eklund,Patricia Rozema,Hope is power,female nudity|rape|fire|dancer|based on novel,2015
